date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,66.82
1951-12-31,67.15,0.49
1952-12-31,67.48,0.49
1953-12-31,67.81,0.49
1954-12-31,68.14,0.49
1955-12-31,68.47,0.48
1956-12-31,68.8,0.48
1957-12-31,69.13,0.48
1958-12-31,69.46,0.48
1959-12-31,69.628,0.24
1960-12-31,69.796,0.24
1961-12-31,69.964,0.24
1962-12-31,70.132,0.24
1963-12-31,70.3,0.24
1964-12-31,70.382,0.12
1965-12-31,70.464,0.12
1966-12-31,70.546,0.12
1967-12-31,70.628,0.12
1968-12-31,70.71,0.12
1969-12-31,70.868,0.22
1970-12-31,71.026,0.22
1971-12-31,71.184,0.22
1972-12-31,71.342,0.22
1973-12-31,71.5,0.22
1974-12-31,71.732,0.32
1975-12-31,71.964,0.32
1976-12-31,72.196,0.32
1977-12-31,72.428,0.32
1978-12-31,72.66,0.32
1979-12-31,72.91,0.34
1980-12-31,73.16,0.34
1981-12-31,73.41,0.34
1982-12-31,73.66,0.34
1983-12-31,73.91,0.34
1984-12-31,74.182,0.37
1985-12-31,74.454,0.37
1986-12-31,74.726,0.37
1987-12-31,74.998,0.36
1988-12-31,75.27,0.36
1989-12-31,75.496,0.3
1990-12-31,75.722,0.3
1991-12-31,75.948,0.3
1992-12-31,76.174,0.3
1993-12-31,76.4,0.3
1994-12-31,76.598,0.26
1995-12-31,76.796,0.26
1996-12-31,76.994,0.26
1997-12-31,77.192,0.26
1998-12-31,77.39,0.26
1999-12-31,77.588,0.26
2000-12-31,77.786,0.26
2001-12-31,77.984,0.25
2002-12-31,78.182,0.25
2003-12-31,78.38,0.25
2004-12-31,78.618,0.3
2005-12-31,78.856,0.3
2006-12-31,79.094,0.3
2007-12-31,79.332,0.3
2008-12-31,79.57,0.3
2009-12-31,79.76,0.24
2010-12-31,79.95,0.24
2011-12-31,80.14,0.24
2012-12-31,80.33,0.24
2013-12-31,80.52,0.24
2014-12-31,80.694,0.22
2015-12-31,80.868,0.22
2016-12-31,81.042,0.22
2017-12-31,81.216,0.21
2018-12-31,81.39,0.21
2019-12-31,81.546,0.19
2020-12-31,81.702,0.19
2021-12-31,81.858,0.19
2022-12-31,82.014,0.19
2023-12-31,82.17,0.19
2024-12-31,82.324,0.19
2025-12-31,82.478,0.19
2026-12-31,82.632,0.19
2027-12-31,82.786,0.19
2028-12-31,82.94,0.19
2029-12-31,83.09,0.18
2030-12-31,83.24,0.18
2031-12-31,83.39,0.18
2032-12-31,83.54,0.18
2033-12-31,83.69,0.18
2034-12-31,83.816,0.15
2035-12-31,83.942,0.15
2036-12-31,84.068,0.15
2037-12-31,84.194,0.15
2038-12-31,84.32,0.15
2039-12-31,84.444,0.15
2040-12-31,84.568,0.15
2041-12-31,84.692,0.15
2042-12-31,84.816,0.15
2043-12-31,84.94,0.15
2044-12-31,85.06,0.14
2045-12-31,85.18,0.14
2046-12-31,85.3,0.14
2047-12-31,85.42,0.14
2048-12-31,85.54,0.14
2049-12-31,85.652,0.13
2050-12-31,85.764,0.13
2051-12-31,85.876,0.13
2052-12-31,85.988,0.13
2053-12-31,86.1,0.13
2054-12-31,86.214,0.13
2055-12-31,86.328,0.13
2056-12-31,86.442,0.13
2057-12-31,86.556,0.13
2058-12-31,86.67,0.13
2059-12-31,86.78,0.13
2060-12-31,86.89,0.13
2061-12-31,87,0.13
2062-12-31,87.11,0.13
2063-12-31,87.22,0.13
2064-12-31,87.33,0.13
2065-12-31,87.44,0.13
2066-12-31,87.55,0.13
2067-12-31,87.66,0.13
2068-12-31,87.77,0.13
2069-12-31,87.878,0.12
2070-12-31,87.986,0.12
2071-12-31,88.094,0.12
2072-12-31,88.202,0.12
2073-12-31,88.31,0.12
2074-12-31,88.42,0.12
2075-12-31,88.53,0.12
2076-12-31,88.64,0.12
2077-12-31,88.75,0.12
2078-12-31,88.86,0.12
2079-12-31,88.97,0.12
2080-12-31,89.08,0.12
2081-12-31,89.19,0.12
2082-12-31,89.3,0.12
2083-12-31,89.41,0.12
2084-12-31,89.518,0.12
2085-12-31,89.626,0.12
2086-12-31,89.734,0.12
2087-12-31,89.842,0.12
2088-12-31,89.95,0.12
2089-12-31,90.06,0.12
2090-12-31,90.17,0.12
2091-12-31,90.28,0.12
2092-12-31,90.39,0.12
2093-12-31,90.5,0.12
2094-12-31,90.608,0.12
2095-12-31,90.716,0.12
2096-12-31,90.824,0.12
2097-12-31,90.932,0.12
2098-12-31,91.04,0.12
2099-12-31,91.148,0.12
2100-12-31,91.256,0.12
