date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,65.998
1951-12-31,66.422,0.64
1952-12-31,66.846,0.64
1953-12-31,67.27,0.63
1954-12-31,67.694,0.63
1955-12-31,68.118,0.63
1956-12-31,68.542,0.62
1957-12-31,68.966,0.62
1958-12-31,69.39,0.61
1959-12-31,69.662,0.39
1960-12-31,69.934,0.39
1961-12-31,70.206,0.39
1962-12-31,70.478,0.39
1963-12-31,70.75,0.39
1964-12-31,70.89,0.2
1965-12-31,71.03,0.2
1966-12-31,71.17,0.2
1967-12-31,71.31,0.2
1968-12-31,71.45,0.2
1969-12-31,71.646,0.27
1970-12-31,71.842,0.27
1971-12-31,72.038,0.27
1972-12-31,72.234,0.27
1973-12-31,72.43,0.27
1974-12-31,72.676,0.34
1975-12-31,72.922,0.34
1976-12-31,73.168,0.34
1977-12-31,73.414,0.34
1978-12-31,73.66,0.34
1979-12-31,73.882,0.3
1980-12-31,74.104,0.3
1981-12-31,74.326,0.3
1982-12-31,74.548,0.3
1983-12-31,74.77,0.3
1984-12-31,75.042,0.36
1985-12-31,75.314,0.36
1986-12-31,75.586,0.36
1987-12-31,75.858,0.36
1988-12-31,76.13,0.36
1989-12-31,76.372,0.32
1990-12-31,76.614,0.32
1991-12-31,76.856,0.32
1992-12-31,77.098,0.31
1993-12-31,77.34,0.31
1994-12-31,77.562,0.29
1995-12-31,77.784,0.29
1996-12-31,78.006,0.29
1997-12-31,78.228,0.28
1998-12-31,78.45,0.28
1999-12-31,78.68,0.29
2000-12-31,78.91,0.29
2001-12-31,79.14,0.29
2002-12-31,79.37,0.29
2003-12-31,79.6,0.29
2004-12-31,79.87,0.34
2005-12-31,80.14,0.34
2006-12-31,80.41,0.34
2007-12-31,80.68,0.34
2008-12-31,80.95,0.33
2009-12-31,81.148,0.24
2010-12-31,81.346,0.24
2011-12-31,81.544,0.24
2012-12-31,81.742,0.24
2013-12-31,81.94,0.24
2014-12-31,82.044,0.13
2015-12-31,82.148,0.13
2016-12-31,82.252,0.13
2017-12-31,82.356,0.13
2018-12-31,82.46,0.13
2019-12-31,82.594,0.16
2020-12-31,82.728,0.16
2021-12-31,82.862,0.16
2022-12-31,82.996,0.16
2023-12-31,83.13,0.16
2024-12-31,83.258,0.15
2025-12-31,83.386,0.15
2026-12-31,83.514,0.15
2027-12-31,83.642,0.15
2028-12-31,83.77,0.15
2029-12-31,83.908,0.16
2030-12-31,84.046,0.16
2031-12-31,84.184,0.16
2032-12-31,84.322,0.16
2033-12-31,84.46,0.16
2034-12-31,84.582,0.14
2035-12-31,84.704,0.14
2036-12-31,84.826,0.14
2037-12-31,84.948,0.14
2038-12-31,85.07,0.14
2039-12-31,85.184,0.13
2040-12-31,85.298,0.13
2041-12-31,85.412,0.13
2042-12-31,85.526,0.13
2043-12-31,85.64,0.13
2044-12-31,85.758,0.14
2045-12-31,85.876,0.14
2046-12-31,85.994,0.14
2047-12-31,86.112,0.14
2048-12-31,86.23,0.14
2049-12-31,86.346,0.13
2050-12-31,86.462,0.13
2051-12-31,86.578,0.13
2052-12-31,86.694,0.13
2053-12-31,86.81,0.13
2054-12-31,86.922,0.13
2055-12-31,87.034,0.13
2056-12-31,87.146,0.13
2057-12-31,87.258,0.13
2058-12-31,87.37,0.13
2059-12-31,87.482,0.13
2060-12-31,87.594,0.13
2061-12-31,87.706,0.13
2062-12-31,87.818,0.13
2063-12-31,87.93,0.13
2064-12-31,88.044,0.13
2065-12-31,88.158,0.13
2066-12-31,88.272,0.13
2067-12-31,88.386,0.13
2068-12-31,88.5,0.13
2069-12-31,88.608,0.12
2070-12-31,88.716,0.12
2071-12-31,88.824,0.12
2072-12-31,88.932,0.12
2073-12-31,89.04,0.12
2074-12-31,89.152,0.13
2075-12-31,89.264,0.13
2076-12-31,89.376,0.13
2077-12-31,89.488,0.13
2078-12-31,89.6,0.13
2079-12-31,89.712,0.13
2080-12-31,89.824,0.12
2081-12-31,89.936,0.12
2082-12-31,90.048,0.12
2083-12-31,90.16,0.12
2084-12-31,90.268,0.12
2085-12-31,90.376,0.12
2086-12-31,90.484,0.12
2087-12-31,90.592,0.12
2088-12-31,90.7,0.12
2089-12-31,90.812,0.12
2090-12-31,90.924,0.12
2091-12-31,91.036,0.12
2092-12-31,91.148,0.12
2093-12-31,91.26,0.12
2094-12-31,91.368,0.12
2095-12-31,91.476,0.12
2096-12-31,91.584,0.12
2097-12-31,91.692,0.12
2098-12-31,91.8,0.12
2099-12-31,91.908,0.12
2100-12-31,92.016,0.12
