date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,66.686
1951-12-31,66.964,0.42
1952-12-31,67.242,0.42
1953-12-31,67.52,0.41
1954-12-31,67.798,0.41
1955-12-31,68.076,0.41
1956-12-31,68.354,0.41
1957-12-31,68.632,0.41
1958-12-31,68.91,0.41
1959-12-31,69.122,0.31
1960-12-31,69.334,0.31
1961-12-31,69.546,0.31
1962-12-31,69.758,0.3
1963-12-31,69.97,0.3
1964-12-31,70.11,0.2
1965-12-31,70.25,0.2
1966-12-31,70.39,0.2
1967-12-31,70.53,0.2
1968-12-31,70.67,0.2
1969-12-31,70.766,0.14
1970-12-31,70.862,0.14
1971-12-31,70.958,0.14
1972-12-31,71.054,0.14
1973-12-31,71.15,0.14
1974-12-31,71.38,0.32
1975-12-31,71.61,0.32
1976-12-31,71.84,0.32
1977-12-31,72.07,0.32
1978-12-31,72.3,0.32
1979-12-31,72.57,0.37
1980-12-31,72.84,0.37
1981-12-31,73.11,0.37
1982-12-31,73.38,0.37
1983-12-31,73.65,0.37
1984-12-31,73.918,0.36
1985-12-31,74.186,0.36
1986-12-31,74.454,0.36
1987-12-31,74.722,0.36
1988-12-31,74.99,0.36
1989-12-31,75.188,0.26
1990-12-31,75.386,0.26
1991-12-31,75.584,0.26
1992-12-31,75.782,0.26
1993-12-31,75.98,0.26
1994-12-31,76.246,0.35
1995-12-31,76.512,0.35
1996-12-31,76.778,0.35
1997-12-31,77.044,0.35
1998-12-31,77.31,0.35
1999-12-31,77.572,0.34
2000-12-31,77.834,0.34
2001-12-31,78.096,0.34
2002-12-31,78.358,0.34
2003-12-31,78.62,0.33
2004-12-31,78.842,0.28
2005-12-31,79.064,0.28
2006-12-31,79.286,0.28
2007-12-31,79.508,0.28
2008-12-31,79.73,0.28
2009-12-31,79.872,0.18
2010-12-31,80.014,0.18
2011-12-31,80.156,0.18
2012-12-31,80.298,0.18
2013-12-31,80.44,0.18
2014-12-31,80.572,0.16
2015-12-31,80.704,0.16
2016-12-31,80.836,0.16
2017-12-31,80.968,0.16
2018-12-31,81.1,0.16
2019-12-31,81.256,0.19
2020-12-31,81.412,0.19
2021-12-31,81.568,0.19
2022-12-31,81.724,0.19
2023-12-31,81.88,0.19
2024-12-31,82.038,0.19
2025-12-31,82.196,0.19
2026-12-31,82.354,0.19
2027-12-31,82.512,0.19
2028-12-31,82.67,0.19
2029-12-31,82.816,0.18
2030-12-31,82.962,0.18
2031-12-31,83.108,0.18
2032-12-31,83.254,0.18
2033-12-31,83.4,0.18
2034-12-31,83.532,0.16
2035-12-31,83.664,0.16
2036-12-31,83.796,0.16
2037-12-31,83.928,0.16
2038-12-31,84.06,0.16
2039-12-31,84.184,0.15
2040-12-31,84.308,0.15
2041-12-31,84.432,0.15
2042-12-31,84.556,0.15
2043-12-31,84.68,0.15
2044-12-31,84.796,0.14
2045-12-31,84.912,0.14
2046-12-31,85.028,0.14
2047-12-31,85.144,0.14
2048-12-31,85.26,0.14
2049-12-31,85.376,0.14
2050-12-31,85.492,0.14
2051-12-31,85.608,0.14
2052-12-31,85.724,0.14
2053-12-31,85.84,0.14
2054-12-31,85.952,0.13
2055-12-31,86.064,0.13
2056-12-31,86.176,0.13
2057-12-31,86.288,0.13
2058-12-31,86.4,0.13
2059-12-31,86.512,0.13
2060-12-31,86.624,0.13
2061-12-31,86.736,0.13
2062-12-31,86.848,0.13
2063-12-31,86.96,0.13
2064-12-31,87.07,0.13
2065-12-31,87.18,0.13
2066-12-31,87.29,0.13
2067-12-31,87.4,0.13
2068-12-31,87.51,0.13
2069-12-31,87.62,0.13
2070-12-31,87.73,0.13
2071-12-31,87.84,0.13
2072-12-31,87.95,0.13
2073-12-31,88.06,0.13
2074-12-31,88.172,0.13
2075-12-31,88.284,0.13
2076-12-31,88.396,0.13
2077-12-31,88.508,0.13
2078-12-31,88.62,0.13
2079-12-31,88.732,0.13
2080-12-31,88.844,0.13
2081-12-31,88.956,0.13
2082-12-31,89.068,0.13
2083-12-31,89.18,0.13
2084-12-31,89.288,0.12
2085-12-31,89.396,0.12
2086-12-31,89.504,0.12
2087-12-31,89.612,0.12
2088-12-31,89.72,0.12
2089-12-31,89.83,0.12
2090-12-31,89.94,0.12
2091-12-31,90.05,0.12
2092-12-31,90.16,0.12
2093-12-31,90.27,0.12
2094-12-31,90.382,0.12
2095-12-31,90.494,0.12
2096-12-31,90.606,0.12
2097-12-31,90.718,0.12
2098-12-31,90.83,0.12
2099-12-31,90.942,0.12
2100-12-31,91.054,0.12
