date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,42.712
1951-12-31,43.178,1.09
1952-12-31,43.644,1.08
1953-12-31,44.11,1.07
1954-12-31,44.576,1.06
1955-12-31,45.042,1.05
1956-12-31,45.508,1.03
1957-12-31,45.974,1.02
1958-12-31,46.44,1.01
1959-12-31,47.08,1.38
1960-12-31,47.72,1.36
1961-12-31,48.36,1.34
1962-12-31,49,1.32
1963-12-31,49.64,1.31
1964-12-31,50.156,1.04
1965-12-31,50.672,1.03
1966-12-31,51.188,1.02
1967-12-31,51.704,1.01
1968-12-31,52.22,1
1969-12-31,53.006,1.51
1970-12-31,53.792,1.48
1971-12-31,54.578,1.46
1972-12-31,55.364,1.44
1973-12-31,56.15,1.42
1974-12-31,56.688,0.96
1975-12-31,57.226,0.95
1976-12-31,57.764,0.94
1977-12-31,58.302,0.93
1978-12-31,58.84,0.92
1979-12-31,59.406,0.96
1980-12-31,59.972,0.95
1981-12-31,60.538,0.94
1982-12-31,61.104,0.93
1983-12-31,61.67,0.93
1984-12-31,62.26,0.96
1985-12-31,62.85,0.95
1986-12-31,63.44,0.94
1987-12-31,64.03,0.93
1988-12-31,64.62,0.92
1989-12-31,65.222,0.93
1990-12-31,65.824,0.92
1991-12-31,66.426,0.91
1992-12-31,67.028,0.91
1993-12-31,67.63,0.9
1994-12-31,68.11,0.71
1995-12-31,68.59,0.7
1996-12-31,69.07,0.7
1997-12-31,69.55,0.69
1998-12-31,70.03,0.69
1999-12-31,70.436,0.58
2000-12-31,70.842,0.58
2001-12-31,71.248,0.57
2002-12-31,71.654,0.57
2003-12-31,72.06,0.57
2004-12-31,72.38,0.44
2005-12-31,72.7,0.44
2006-12-31,73.02,0.44
2007-12-31,73.34,0.44
2008-12-31,73.66,0.44
2009-12-31,73.95,0.39
2010-12-31,74.24,0.39
2011-12-31,74.53,0.39
2012-12-31,74.82,0.39
2013-12-31,75.11,0.39
2014-12-31,75.37,0.35
2015-12-31,75.63,0.34
2016-12-31,75.89,0.34
2017-12-31,76.15,0.34
2018-12-31,76.41,0.34
2019-12-31,76.616,0.27
2020-12-31,76.822,0.27
2021-12-31,77.028,0.27
2022-12-31,77.234,0.27
2023-12-31,77.44,0.27
2024-12-31,77.646,0.27
2025-12-31,77.852,0.27
2026-12-31,78.058,0.26
2027-12-31,78.264,0.26
2028-12-31,78.47,0.26
2029-12-31,78.67,0.25
2030-12-31,78.87,0.25
2031-12-31,79.07,0.25
2032-12-31,79.27,0.25
2033-12-31,79.47,0.25
2034-12-31,79.66,0.24
2035-12-31,79.85,0.24
2036-12-31,80.04,0.24
2037-12-31,80.23,0.24
2038-12-31,80.42,0.24
2039-12-31,80.604,0.23
2040-12-31,80.788,0.23
2041-12-31,80.972,0.23
2042-12-31,81.156,0.23
2043-12-31,81.34,0.23
2044-12-31,81.52,0.22
2045-12-31,81.7,0.22
2046-12-31,81.88,0.22
2047-12-31,82.06,0.22
2048-12-31,82.24,0.22
2049-12-31,82.408,0.2
2050-12-31,82.576,0.2
2051-12-31,82.744,0.2
2052-12-31,82.912,0.2
2053-12-31,83.08,0.2
2054-12-31,83.234,0.19
2055-12-31,83.388,0.19
2056-12-31,83.542,0.18
2057-12-31,83.696,0.18
2058-12-31,83.85,0.18
2059-12-31,83.99,0.17
2060-12-31,84.13,0.17
2061-12-31,84.27,0.17
2062-12-31,84.41,0.17
2063-12-31,84.55,0.17
2064-12-31,84.682,0.16
2065-12-31,84.814,0.16
2066-12-31,84.946,0.16
2067-12-31,85.078,0.16
2068-12-31,85.21,0.16
2069-12-31,85.332,0.14
2070-12-31,85.454,0.14
2071-12-31,85.576,0.14
2072-12-31,85.698,0.14
2073-12-31,85.82,0.14
2074-12-31,85.934,0.13
2075-12-31,86.048,0.13
2076-12-31,86.162,0.13
2077-12-31,86.276,0.13
2078-12-31,86.39,0.13
2079-12-31,86.504,0.13
2080-12-31,86.618,0.13
2081-12-31,86.732,0.13
2082-12-31,86.846,0.13
2083-12-31,86.96,0.13
2084-12-31,87.07,0.13
2085-12-31,87.18,0.13
2086-12-31,87.29,0.13
2087-12-31,87.4,0.13
2088-12-31,87.51,0.13
2089-12-31,87.62,0.13
2090-12-31,87.73,0.13
2091-12-31,87.84,0.13
2092-12-31,87.95,0.13
2093-12-31,88.06,0.13
2094-12-31,88.17,0.12
2095-12-31,88.28,0.12
2096-12-31,88.39,0.12
2097-12-31,88.5,0.12
2098-12-31,88.61,0.12
2099-12-31,88.72,0.12
2100-12-31,88.83,0.12
